Dia,Volum
2023-01-28,1.31
2023-01-29,0.79
2023-01-30,27.02
2023-01-31,28.03
2023-02-01,0.74
2023-02-02,1.14
2023-02-03,29.669999999999998
2023-02-04,1.1
2023-02-05,1.1
2023-02-06,0.68
2023-02-07,0.97
2023-02-08,2.0300000000000002
2023-02-09,1.6
2023-02-10,1.49
2023-02-11,1.54
2023-02-12,1.38
2023-02-13,1.46
2023-02-14,1.49
2023-02-15,1.44
2023-02-16,1.46
2023-02-17,1.14
2023-02-18,1.3599999999999999
2023-02-19,1.32
2023-02-20,1.3900000000000001
2023-02-21,1.51
2023-02-22,1.4700000000000002
2023-02-23,1.52
2023-02-24,1.6099999999999999
2023-02-25,1.9300000000000002
2023-02-26,1.52
2023-02-27,2.0300000000000002
2023-02-28,1.5499999999999998
2023-03-01,1.1
2023-03-02,0.36
2023-03-03,1.52
2023-03-04,1.46
2023-03-05,1.3900000000000001
2023-03-06,1.65
2023-03-07,1.56
2023-03-08,1.22
2023-03-09,0.69
2023-03-10,1.7799999999999998
2023-03-11,2.15
2023-03-12,2.1799999999999997
2023-03-13,2.11
2023-03-14,2.1
2023-03-15,1.92
2023-03-16,0.98
2023-03-17,2.0999999999999996
2023-03-18,2.34
2023-03-19,2.27
2023-03-20,2.38
2023-03-21,2.69
2023-03-22,2.88
2023-03-23,2.92
2023-03-24,2.89
2023-03-25,2.8200000000000003
2023-03-26,2.75
2023-03-27,2.7199999999999998
2023-03-28,2.7800000000000002
2023-03-29,2.86
2023-03-30,2.92
2023-03-31,2.8200000000000003
2023-04-01,2.92
2023-04-02,2.91
2023-04-03,2.91
2023-04-04,2.88
2023-04-05,2.88
2023-04-06,1.7
2023-04-07,2.71
2023-04-08,2.67
2023-04-09,2.7699999999999996
2023-04-10,2.83
2023-04-11,3.02
2023-04-12,3.02
2023-04-13,1.51
2023-04-14,3.4299999999999997
2023-04-15,3.4
2023-04-16,3.06
2023-04-17,3.36
2023-04-18,3.38
2023-04-19,3.44
2023-04-20,1.99
2023-04-21,3.44
2023-04-22,3.4
2023-04-23,3.4299999999999997
2023-04-24,3.4299999999999997
2023-04-25,3.29
2023-04-26,3.38
2023-04-27,3.36
2023-04-28,3.24
2023-04-29,3.2199999999999998
2023-04-30,3.23
2023-05-01,2.98
2023-05-02,3.1
2023-05-03,2.79
2023-05-04,3.34
2023-05-05,3.31
2023-05-06,3.29
2023-05-07,3.17
2023-05-08,3.3099999999999996
2023-05-09,3.32
2023-05-10,3.3099999999999996
2023-05-11,3.1900000000000004
2023-05-12,3.32
2023-05-13,3.21
2023-05-14,3.2199999999999998
2023-05-15,3.3
2023-05-16,3.2699999999999996
2023-05-17,3.27
2023-05-18,3.3
2023-05-19,2.03
2023-05-20,2.64
2023-05-21,2.53
2023-05-22,2.64
2023-05-23,2.31
2023-05-24,2.21
2023-05-25,2.73
2023-05-26,2.49
2023-05-27,2.37
2023-05-28,2.38
2023-05-29,2.43
2023-05-30,2.48
2023-05-31,2.49
2023-06-01,2.54
2023-06-02,2.49
2023-06-03,2.37
2023-06-04,2.21
2023-06-05,2.31
2023-06-06,2.3600000000000003
2023-06-07,2.29
2023-06-08,2.21
2023-06-09,2.34
2023-06-10,1.82
2023-06-11,2.34
2023-06-12,2.4299999999999997
2023-06-13,2.4299999999999997
2023-06-14,2.4
2023-06-15,2.37
2023-06-16,2.37
2023-06-17,2.86
2023-06-18,3.08
2023-06-19,3.32
2023-06-20,1.62
2023-06-21,2.95
2023-06-22,3.17
2023-06-23,3.1799999999999997
2023-06-24,3.3
2023-06-25,2.92
2023-06-26,3.23
2023-06-27,3.21
2023-06-28,3.1799999999999997
2023-06-29,3.08
2023-06-30,3.0
2023-07-01,3.2
2023-07-02,3.12
2023-07-03,3.18
2023-07-04,3.2
2023-07-05,3.19
2023-07-06,2.41
2023-07-07,2.7800000000000002
2023-07-08,3.11
2023-07-09,2.17
2023-07-10,2.45
2023-07-11,2.54
2023-07-12,2.88
2023-07-13,2.8499999999999996
2023-07-14,3.08
2023-07-15,3.24
2023-07-16,3.21
2023-07-17,3.24
2023-07-18,3.24
2023-07-19,3.24
2023-07-20,2.34
2023-07-21,3.22
2023-07-22,3.27
2023-07-23,3.1500000000000004
2023-07-24,1.95
2023-07-25,2.98
2023-07-26,3.31
2023-07-27,3.12
2023-07-28,2.96
2023-07-29,3.2300000000000004
2023-07-30,2.68
2023-07-31,2.59
2023-08-01,3.3200000000000003
2023-08-02,2.95
2023-08-03,3.21
2023-08-04,3.12
2023-08-05,3.05
2023-08-06,3.18
2023-08-07,3.24
2023-08-08,3.12
2023-08-09,3.01
2023-08-10,3.1500000000000004
2023-08-11,3.1100000000000003
